meeting_no,meeting_date,monitoring_index,monitoring_comment
9,2020-09-03,2,(1) #7119 は、感染拡大の早期予兆の指標の1つとして、モニタリングしている。第一波では、患者の急速な増加の前に#7119における発熱等の相談件数が増加した。(2) #7119 の 7 日間平均は 63.1 件であり、前週の 69.7 件からは横ばいであった。
9,2020-09-03,3,(1) 接触歴等不明者数は 7 日間平均で約 108 名と、前週の約 137 名と比較すると減少しているものの、依然高水準であることから、今後の動向を注視するとともに、接触歴を調査する保健所への支援が必要である。(2) 新規陽性者における接触歴等不明者の増加比は、100%未満であることが減少傾向の指標である。9 月 2 日時点の増加比は 79.4%で、前週の 86.7%に引き続き 100%未満であった。しかし、減少の速度は緩やかであり、再度、増加に転じることへの厳重な警戒が必要である。(3) 感染経路(接触歴等)不明な者の割合は 9 月 2 日時点で 59.2%であり、8 月 26 日時点の 60.6%からは横ばいであった。※ 感染経路不明な者の割合は、国の指標及び目安における、ステージIIIの 50%を超える数値が続いている。(ステージIIIとは、感染者の急増及び医療提供体制における大きな支障の発生を避けるための対応が必要な段階)
9,2020-09-03,4,"(1) PCR 検査の陽性率は、検査体制の指標としてモニタリングしている。迅速かつ広く PCR 検査等を実施することは、感染拡大防止と重症化予防の双方に効果的と考える。(2) PCR 検査件数のうちの陽性者数の割合は、9 月 2 日時点で 3.8%と、8 月 26 日の 4.9%と比較して減少した。(3) 8 月 25 日から 8 月 31 日までの検査件数は 30,077 件であり、前週の 29,907 件及び前々週の 32,315 件と、3 万件前後で推移している。(4) 今週は、7 日間平均の検査数は少なかったが、陽性率は減少している。有症状の患者に検査が行き届いているか、感染経路を追うための検査が充足しているか等を検討する必要がある。(5) 十分な PCR 検査等を行うためには、引き続き検査体制の強化が求められる。(6) 新規陽性患者数が減少傾向にある中、今後、経済活動が活発になると、感染機会が増加するおそれがある。感染リスクが高い地域や集団及び高齢者施設などに対して、感染拡大抑止の観点から、無症状者も含めた集中的な PCR 検査を行うなどの戦略を検討する必要がある。※ 国の指標及び目安におけるステージIIIの 10%より低値である(ステージII相当)。"
9,2020-09-03,5,(1) 東京ルールの適用件数は、8 月 26 日以降 50 件前後で推移している。(2) 7 日間平均の件数は 47.3 件で、前週の 49.0 件からは横ばいであった。
9,2020-09-03,6,"(1) 入院患者数は約 3 週間ぶりに 1,500 人を下回るものの、依然として高い水準で、再増加への警戒が必要な状況であり、医療機関への負担が長期化している。(2) 8 月 25 日から 8 月 31 日の新規入院患者数が 420 人、退院者数が 315 人となっている。また、陽性者以外にも、陽性者と同様の感染防御対策と個室での管理が必要な疑い患者を、1 日当たり、都内全域で約 200 人受け入れている。(3) 入院調整本部の対応件数のうち、約 9 割以上が無症状の陽性者及び軽症者であるが、合併症を有する患者が多い。(4) 陽性患者の入院と退院時には共に手続き、感染防御対策、検査、調整、消毒など、たとえ軽症者であっても、通常の患者より多くの人手、労力と時間が必要である。煩雑な入院と退院の作業が繰り返されることも、医療機関の負担の要因となっている。確保病床数は、当日の入院できる病床患者数ではない。病院ごとに当日入院できる患者の数には限りがある。(5) 宿泊療養施設の医療支援にあたる医師等もまた、通常の医療現場から苦労して確保している。(6) 8 月 25 日から 8 月 31 日までの陽性者 1,389 人のうち、無症状の陽性者が 19.2%を占めている。宿泊療養施設は 3,044 室を確保しているが、9 月 2 日の宿泊療養施設の利用者は 253 人、自宅療養者は 443 人である。(7) 入院、宿泊及び自宅療養者の状況を把握・分析し、感染者の再増加への備えを検討する必要がある。(8) 宿泊療養施設の一部で、英語による対応や、IT を活用しオンラインで健康観察を行うなど、医療支援にあたる医師等の負担軽減対策を進めている。また、自宅療養者についても、IT を活用した健康観察システムを 9 月 1 日から多摩立川保健所で先行導入し、保健所業務を支援する体制を整えつつある。(9) 保健所から入院調整本部への調整依頼件数は、1 日 60 件程度で推移しているが、緊急性の高い重症患者や合併症を有する患者の依頼件数の割合が増加している。特に土日祝祭日は、受入可能な病床数が少ない状況が続き、調整が難航している。(10) 入院調整の結果、入院先医療機関が決定した後に、症状の改善や患者の希望でキャンセルする事例が1割程度発生している。※ 国の指標及び目安における、病床全体のひっ迫具合を示す、最大確保病床数(都は 4,000 床)に占める入院患者数の割合は、9 月 2 日時点で 34.8%となっており、国の指標及び目安におけるステージIIIの 20%を超えているが、ステージIVの 50%未満の数値となっている。また、同時点の確保病床数(都は 2,600 床)に占める入院患者数の割合は、53.5%となっており国の指標及び目安におけるステージIIIの 25%を大きく超えた数値となっている。(ステージIVとは、爆発的な感染拡大及び深刻な医療提供体制の機能不全を避けるための対応が必要な段階)"
9,2020-09-03,7,(1) 東京都は、その時点で、人工呼吸器又は ECMO を使用している患者数を重症患者数とし、医療提供体制の指標としてモニタリングしている。8 月 30 日に重症患者数は 34 人まで増加したが、9 月 2 日には 29 人までに減少した。(2) 8 月 25 日から 8 月 31 日までの間に、新たに人工呼吸器を装着した患者は 15 人であり、人工呼吸器から離脱した患者は16 人、人工呼吸器使用中に死亡した患者は 2 人であった。また、この間に、新たに ECMO を導入した患者はなく、ECMOから離脱した患者は 2 人であり、8 月 31 日の時点で、人工呼吸器を装着している患者が 29 人で、うち 3 人の患者が ECMOを使用している。(3) 9 月 2 日時点の重症患者数は 29 人で、年代別内訳は 40 代が 2 人、50~60 代が 11 人、70 代以上が 16 人であり、性別では、男性 26 人・女性 3 人であった。(4) 陽性判明日から重症化(人工呼吸器の装着)までは平均 4.9 日で、軽快した重症患者における人工呼吸器の装着から離脱までの日数の中央値は 7.0 日であった。(5) 新規陽性者数が依然として高い水準ながらも漸減している中、重症患者数は増減を繰り返しながら横ばいであった。今後の重症患者数の推移に警戒が必要である。(6) 重症患者数は50 代以上が多数を占めており、引き続き家庭内における家族間、職場および医療・介護施設内における感染防止対策の徹底が必要である。(7) 8 月 25 日から 8 月 31 日までに報告された死亡者数は 11 人である。前々週の 7 人から前週は 11 人に増加し、今週は前週から横ばいであった。今後の死亡者数について注視する必要がある。(8) 重症患者においては、ICU 等の病床の占有期間が長期化することを念頭に置き、新型コロナウイルス感染症患者のための医療と、通常の医療との両立を保ちつつ、重症患者のための病床を確保する必要がある。一方、レベル 2 の重症病床(300床)を準備するためには、医療機関は第一波のピーク時と同様に、予定手術や救急の受け入れを大幅に制限せざるを得ないと考える。※ 国の指標及び目安における重症者数(集中治療室(ICU)、ハイケアユニット(HCU)等入室または人工呼吸器か ECMO 使用)は、9 月 2 日時点で 101 人、うち、ICU 入室または人工呼吸器か ECMO 使用は 40 人となっている(重症以外の ICU/HCU入室患者を含む)。なお、国の報告基準における ICU 等の定義が HCU 等を含むと明示されたため、後者を含まない先々週の値との相違に留意する必要がある。
10,2020-09-10,1,"(1) 新規陽性者数の 7 日間平均は前週の約 183 人から約 149 人に減少し、7 月 12 日以来、約 2 か月ぶりに緊急事態宣言下での最大値約 167 人(4 月 14 日)を下回った。しかし、依然高い水準で推移しており、再び増加することへの警戒が必要な状況に変わりはない。増加比は 81.1%と、前週の 81.2%に引き続き 100%を下回る水準であるものの、80%前後で推移している。院内感染・施設内感染などにより数十人規模のクラスターが複数発生すると、増加比が再び 100%を超えるおそれがあり、注意が必要である。(2) 現在も、院内感染が発生しているものの、第一波(3 月 1 日から 5 月 25 日の緊急事態宣言解除までと設定)のような大規模なクラスターの発生がみられていない。院内感染の拡大防止対策が功を奏していると考えられる。また、PCR 検査の増加による陽性者の早期発見と感染拡大防止、都民の協力、業種別ガイドラインの徹底等、様々な取組が進んでいる。引き続き、これらの対策や取組を維持する必要がある。(3) 無症状や症状の乏しい感染者の行動に影響を受けて、感染経路が多岐にわたり、また、感染経路が不明になっている。(4) 9 月 1 日から 9 月 7 日まで(以下「今週」という。)の報告では、10 歳未満 3.5%、10 代 4.7%、20 代 26.1%、30 代 21.1%40 代 16.7%、50 代 12.9%、60 代 7.0%、70 代 4.0%、80 代 3.1%、90 代 1.0%であり、前週と比べ、ほぼ同じ傾向が続いている。(5) 今週の濃厚接触者における感染経路別の割合は、全年代合計で、同居する人からの感染が 37.4%と最も多く、次いで施設が 14.7%となり、職場 13.8%、会食 9.0%、接待を伴う飲食店等 5.7%の順であった。前週と比べ、施設での感染の割合が増加した。(6) 年代別で見ると、今週の濃厚接触者における感染経路別の割合は、80 代以上を除く全年代で同居する人からの感染が最も多かった。10 代以下では、同居する人からの感染が 54.4%と最も多く、次いで保育園・学校等の教育施設での感染が 27.9%であった。同居する人からの感染は 20 代及び 30 代の 30.3%に対し、40 代から 70 代は 42.8%であった。80 代以上では、施設での感染が 74.2%と最も多く、次いで同居する人からの感染が 12.9%であった。(7) 今週も、同居する家族からの感染が多数報告されている。一旦、家族内に新型コロナウイルスが持ち込まれると、感染を防ぐことは困難であり、まずは、家族内に持ち込まないよう、家族以外との交流における基本的な感染防止対策の徹底が必要である。また、特に高齢者の同居家族への日常的な感染防止対策が重要である。(8) 家族以外では、友人との会食、保育園等における感染や、接待を伴う飲食店、介護老人保健施設、高等学校等におけるクラスター発生例が報告されている。今週は、会食により感染した人が 41 人報告されており、うち 37 人で会食の同席者のなかに陽性者がいたと報告されている。少人数であっても、人と人が、密に接触する環境で、マスクを外して、会話や飲食を行うと、感染のリスクが高まる。このような環境を避け、基本的な感染防止対策を徹底することが重要である。(9) 特別養護老人ホーム、介護老人保健施設、デイケア施設、訪問看護、病院等、重症化リスクの高い施設において、無症状や症状の乏しい職員を発端とした感染が見られており、引き続き、高齢者施設と医療施設における施設内感染等への警戒と検査体制の拡充が必要である。(10) 今週の新規陽性者は 1,032 人で、前週の 1,389 人と比較すると減少した。保健所別届出数では世田谷区が 102 人(9.9%と最も多く、次いで港区 74 人(7.2%)、足立区 67 人(6.5%)、大田区 58 人(5.6%)、渋谷区 55 人(5.3%)の順である島しょでも 5 人(0.5%)の感染者が発生しており、都内全域に感染が拡大している。※ 国の新型コロナウイルス感染症対策分科会(第 5 回)(8 月 7 日)で示された指標及び目安(以下、「国の指標及び目安」という。)における、今週の感染の状況を示す新規報告数は、人口 10 万人あたり、週 7.5 人となっており、国の指標及び目安におけるステージIIIの 15 人を下回り、ステージII相当の数値となった。(ステージIIとは、感染者の漸増及び医療提供体制への負荷が蓄積する段階)"
10,2020-09-10,2,(1) #7119 は、感染拡大の早期予兆の指標の1つとして、モニタリングしている。第一波では、患者の急速な増加の前に#7119における発熱等の相談件数が増加した。(2) #7119 の 7 日間平均は 57.6 件であり、前週の 63.1 件から減少傾向にある。
10,2020-09-10,3,(1) 新規陽性者における接触歴等不明者数は、感染の広がりを反映する指標であるだけでなく、接触歴等不明な新規陽性者が陽性判明前に潜在するクラスターを形成している可能性があるのでモニタリングしている。(2) 接触歴等不明者数は 7 日間平均で約 82 人と、前週の約 108 人と比較すると減少した。しかし、依然高水準であるため、今後の動向を注視する必要がある。接触歴を調査する保健所への支援が引き続き求められる。(3) 新規陽性者における接触歴等不明者の増加比は、100%未満であることが減少傾向の指標である。9 月 9 日時点の増加比は 75.8%で、前週の 79.4%に引き続き 100%未満であった。しかし、今後も、増加に転じることへの警戒が必要である。(4) 感染経路(接触歴等)不明な者の割合は 9 月 9 日時点で 55.3%であり、9 月 2 日時点の 59.2%から減少傾向である。※ 感染経路不明な者の割合は、国の指標及び目安における、ステージIIIの 50%を超える数値が続いている。(ステージIIIとは、感染者の急増及び医療提供体制における大きな支障の発生を避けるための対応が必要な段階)
10,2020-09-10,4,"(1) PCR 検査・抗原検査(以下「PCR 検査等」という。)の陽性率(注1)は、検査体制の指標としてモニタリングしている迅速かつ広く PCR 検査等を実施することは、感染拡大防止と重症化予防の双方に効果的と考える。注1:PCR 検査等の陽性率:陽性判明数(PCR・抗原)の 7 日間平均/検査人数(=陽性判明数(PCR・抗原)+陰性判明数(PCR・抗原))の 7 日間平均。東京都健康安全研究センター、PCR センター(地域外来・検査センター)、医療機関での保険適用検査実績により算出。(2) PCR 検査等の陽性率は、9 月 9 日時点で 3.5%と、9 月 2 日の 3.8%と比較してほぼ横ばいであった。(3) 9 月 9 日時点の PCR 検査等の 7 日間平均の人数は 4,122.4 人であり、9 月 2 日時点の PCR 検査等の 7 日間平均の人数は4,028.6 人と、前週と比べて横ばいであった。(4) 新規陽性患者数が減少傾向にある中、今後、経済活動が活発になると、感染機会が増加するおそれがある。感染リスクが高い地域や集団及び高齢者施設などに対して、感染拡大抑止の観点から、無症状者も含めた集中的な PCR 検査を行うなどの戦略を検討する必要がある。(5) 次のインフルエンザ流行期における発熱患者の増加が想定されているが、発熱等の症状がある患者に対して、季節性インフルエンザと新型コロナウイルス感染症を臨床的に鑑別することは困難である。このため、次のインフルエンザ流行期に備え、東京の実情に応じた発熱患者の相談・検査・診療フローを作成することと、検査体制の強化が大きな課題である。※ 国の指標及び目安におけるステージIIIの 10%より低値である(ステージII相当)。"
10,2020-09-10,5,(1) 東京ルールの適用件数は、8 月 27 日以降 45 件前後で推移している。(2) 7 日間平均の件数は 37.9 件で、前週の 47.3 件からは減少した。
10,2020-09-10,6,"(1) 入院患者数は、9 月 1 日に緊急事態宣言下の最大値 1,413 人を下回って以降、1,200 人台まで減少したものの、依然として高い水準で、再び増加することへの警戒が必要である。医療機関への負担が長期化している状況に変化はない。(2) 今週の新規入院患者数は 334 人、退院者数は 245 人となっている。また、陽性者以外にも、陽性者と同様の感染防御対策と個室での管理が必要な疑い患者を、1 日当たり、都内全域で約 150 人受け入れている。(3) 入院調整本部の対応件数のうち、約 9 割以上が無症状の陽性者及び軽症者であるが、合併症を有する患者が多い。(4) 陽性患者の入院と退院時には共に手続き、感染防御対策、検査、調整、消毒など、たとえ軽症者であっても、通常の患者より多くの人手、労力と時間が必要である。煩雑な入院と退院の作業が繰り返されることも、医療機関の負担の要因となっている。確保病床数は、当日の入院できる病床患者数ではない。病院ごとに当日入院できる患者の数には限りがある。(5) 宿泊療養施設の医療支援にあたる医師等もまた、通常の医療現場から苦労して確保している。(6) 今週の新規陽性者 1,032 人のうち、無症状の陽性者が 18.6%を占めている。宿泊療養施設は 3,044 室を確保しているが、9 月 9 日の宿泊療養施設の利用者は 189 人、自宅療養者は 403 人である。(7) 入院、宿泊及び自宅療養者の状況を把握・分析し、次のインフルエンザ流行期における感染者の再増加への備えを具体的に検討する必要がある。(8) 宿泊療養施設の一部で、英語による対応や、IT を活用しオンラインで健康観察を行うなど、医療支援にあたる医師等の負担軽減対策を進めている。また、自宅療養者についても、IT を活用した健康観察システムの導入を進め、保健所業務を支援する体制を整えている。(9) 保健所から入院調整本部への調整依頼件数は、1 日 40 件程度で推移しているが、その内訳としては、受入先の調整が特に難しい緊急性の高い重症患者や合併症を有する患者の依頼件数の割合が増加している。特に土日祝祭日は、受入可能な病床数が少ない状況が続き、調整が難航している。(10) 入院調整の結果、入院先医療機関が決定した後に、症状の改善や患者の希望でキャンセルする事例が1割程度発生している。※ 国の指標及び目安における、病床全体のひっ迫具合を示す、最大確保病床数(都は 4,000 床)に占める入院患者数の割合は、9 月 9 日時点で 31.2%となっており、国の指標及び目安におけるステージIIIの 20%を超えているが、ステージIVの 50%未満の数値となっている。また、同時点の確保病床数(都は 2,600 床)に占める入院患者数の割合は、48.0%となっており国の指標及び目安におけるステージIIIの 25%を大きく超えた数値となっている。(ステージIVとは、爆発的な感染拡大及び深刻な医療提供体制の機能不全を避けるための対応が必要な段階)"
10,2020-09-10,7,(1) 東京都は、その時点で、人工呼吸器又は ECMO を使用している患者数を重症患者数とし、医療提供体制の指標としてモニタリングしている。重症患者数は前週の 29 人から 9 月 9 日には 24 人までに減少した。(2) 今週、新たに人工呼吸器を装着した患者は 5 人であり、人工呼吸器から離脱した患者は 8 人、人工呼吸器使用中に死亡した患者は 3 人であった。また、この間に、新たに ECMO を導入した患者は 2 人、ECMO から離脱した患者はなく、9 月 9日の時点で、人工呼吸器を装着している患者が 24 人で、うち 5 人の患者が ECMO を使用している。(3) 9 月 9 日時点の重症患者数は 24 人で、年代別内訳は 40 代が 2 人、50~60 代が 15 人、70 代以上が 7 人であり、性別では、男性 21 人・女性 3 人であった。(4) 陽性判明日から重症化(人工呼吸器の装着)までは平均 3.6 日で、軽快した重症患者における人工呼吸器の装着から離脱までの日数の中央値は 7.0 日であった。(5) 新規陽性者数が高い水準ながらも減少している中、重症患者数も増減を繰り返しながら減少傾向がみられる。しかし、新規陽性者における中高齢者が占める割合が高くなっていることから、今後も重症患者数の推移に警戒が必要である。(6) 今週報告された死亡者数は 9 人であり、そのうち 80 代以上の死亡者が 6 人であった。前々週、前週の 11 人とほぼ同数の死亡者数であり、引き続き注視する必要がある。(7) 重症患者数は50 代以上が多数を占めており、重症患者数と死亡者数の増加を防ぐためには、引き続き家族間、職場および医療・介護施設内における感染防止対策の徹底が必要である。(8) 重症患者においては、ICU 等の病床の占有期間が長期化することを念頭に置き、新型コロナウイルス感染症患者のための医療と、通常の医療との両立を保ちつつ、重症患者のための病床を確保する必要がある。一方、レベル 2 の重症病床(300床)を準備するためには、医療機関は第一波のピーク時と同様に、予定手術や救急の受け入れを大幅に制限せざるを得ないと考える。※ 国の指標及び目安における重症者数(集中治療室(ICU)、ハイケアユニット(HCU)等入室または人工呼吸器か ECMO 使用)は、9 月 9 日時点で 106 人、うち、ICU 入室または人工呼吸器か ECMO 使用は 33 人となっている(重症以外の ICU/HCU入室患者を含む)。
11,2020-09-17,1,"(1) 新規陽性者数の 7 日間平均は、前回 9 月 9 日時点(以下「前回」という。)の約 149 人から 9 月 16 日時点の約 181 人に増加し、増加比も前回の 81.1%から 9 月 16 日時点の 122.0%に反転して、100%を超える水準となった。新規陽性者数が高い水準のまま、増加比が100%を超える値に変化したことは、新規陽性者数が急速に増加していくことを意味している。新規陽性者数は、依然、週当たり 1,000 人を超える高い水準で推移しており、更に増加傾向が続くことへの厳重な警戒が必要である。(2) 現在も、医療機関で職員や入院患者の新規陽性者が発生しているが、第一波(3 月 1 日から 5 月 25 日の緊急事態宣言解除までと設定)のような大規模なクラスターの発生がみられていない。院内感染の拡大防止対策が功を奏していると考えられる。また、PCR 検査の増加による陽性者の早期発見と感染拡大防止、都民の協力、業種別ガイドラインの徹底等、様々な取組が進んでいる。引き続き、これらの対策や取組を維持する必要がある。(3) 無症状や症状の乏しい感染者の行動に影響を受けて、感染経路が多岐にわたり、また、感染経路が不明になっている。(4) 9 月 8 日から 9 月 14 日まで(以下「今週」という。)の報告では、10 歳未満 1.9%、10 代 4.2%、20 代 23.9%、30 代24.1%、40 代 19.0%、50 代 13.3%、60 代 5.7%、70 代 3.6%、80 代 3.0%、90 代以上 1.3%であり、9 月 1 日から 9 月 7日まで(以下「前週」という。)と比べ、20 代以下の割合が減少し、30 代から 50 代の割合が増加した。(5) 今週の濃厚接触者における感染経路別の割合は、全年代合計で、同居する人からの感染が、前週の 37.4%から 32.9%に低下したものの、依然として最も多く、次いで職場が 13.5%となり、施設 13.2%、会食 11.6%、接待を伴う飲食店等 5.9%の順であった。前週と同様、同居する人からの感染が最も高い割合であった。(6) 今週の濃厚接触者における感染経路別の割合を年代別で見ると、前週と同様、80 代以上を除く全年代で同居する人からの感染が最も多かった。10 代以下では、同居する人からの感染は、前週の 54.4%から 68.5%に大きく増加し、保育園・学校等の教育施設での感染は、前週の 27.9%から 16.7%に減少した。同居する人からの感染は、20 代から 30 代は 28.5%であり、40 代から 70 代は 32.5%であった。80 代以上では、施設での感染が 75.7%と最も多く、次いで同居する人からの感染が 13.5%であった。(7) 今週も、同居する家族からの感染が多数報告されている。一旦、家族内に新型コロナウイルスが持ち込まれると、感染を防ぐことは困難であり、まずは、家族内に持ち込まないよう、家族以外との交流における基本的な感染防止対策の徹底が必要である。また、特に重症化するリスクが高い高齢者の同居家族への日常的な感染防止対策が重要である。(8) 家族以外では、友人との会食、大人数によるパーティ、接待を伴う飲食店、ナイトクラブ、ジム、職場、病院やデイケア施設等におけるクラスター発生例が報告されている。(9) 今週、会食により感染した人は、前週の 41 人から 67 人に増加している。23 区内における営業時間短縮要請の解除に伴い、友人や職場の同僚等と会食の機会が増えることが想定される。少人数であっても、人と人が、密に接触する環境で、マスクを外して、会話や飲食を行うと、感染のリスクが高まる。このような環境を避け、基本的な感染防止対策を徹底することが重要である。(10) 特別養護老人ホーム、介護老人保健施設、デイケア施設、訪問看護、病院等、重症化リスクの高い施設において、無症状や症状の乏しい職員を発端とした感染が多数見られており、高齢者施設と医療施設における施設内感染等への厳重な警戒と、高齢者の感染予防を目的とした検査体制の拡充が必要である。(11) 今週の新規陽性者は、前週の 1,032 人から 1,234 人に増加した。保健所別届出数では大田区が 98 人(7.9%)と最も多く、次いで世田谷区 95 人(7.7%)、新宿区 70 人(5.7%)、足立区 68 人(5.5%)、江戸川区 58 人(4.7%)の順である。前週に引き続き、島しょでも 7 人(0.6%)の感染者が発生しており、都内全域に感染が拡大している。※ 国の新型コロナウイルス感染症対策分科会(第 5 回)(8 月 7 日)で示された指標及び目安(以下、「国の指標及び目安」という。)における、今週の感染の状況を示す新規報告数は、人口 10 万人あたり、週 9.1 人となっており、国の指標及び目安におけるステージIIIの 15 人を下回り、ステージII相当の数値が続いている。しかし、新規陽性者数の先週一週間と直近一週間の比較では、先週の 0.81 から直近の 1.22 へと増加しており、国の指標及び目安におけるステージII相当からステージIIIへと悪化している。(ステージIIとは、感染者の漸増及び医療提供体制への負荷が蓄積する段階、ステージIIIとは、感染者の急増及び医療提供体制における大きな支障の発生を避けるための対応が必要な段階)"
11,2020-09-17,2,(1) #7119 は、感染拡大の早期予兆の指標の1つとして、モニタリングしている。第一波では、患者の急速な増加の前に#7119における発熱等の相談件数が増加した。(2) #7119 の 7 日間平均は、前回の 57.6 件から 9 月 16 日時点の 54.9 件と、横ばいであった。
11,2020-09-17,3,(1) 新規陽性者における接触歴等不明者数は、感染の広がりを反映する指標であるだけでなく、接触歴等不明な新規陽性者が陽性判明前に潜在するクラスターを形成している可能性があるのでモニタリングしている。(2) 接触歴等不明者数は 7 日間平均で、前回の約 82 人から 9 月 16 日時点の約 94 人に増加した。高水準のまま増加に転じたことから、今後の動向について厳重に警戒する必要がある。接触歴を調査する保健所への支援が引き続き求められる。(3) 新規陽性者における接触歴等不明者の増加比が 100%を超えることは、増加傾向の指標となる。9 月 16 日時点の増加比は、前回の 75.8%から大幅に上昇し、114.6%であった。8 月 11 日に 100%を下回って以来、約 1 か月ぶりに 100%を超える水準となった。新規陽性者が依然多いなか、接触歴不明者の増加比が100%を超えて、再び増加に転じたことから今後の急速な増加が強く危惧される状況にある。(4) 感染経路(接触歴等)不明な者の割合は、前回の 55.3%から 9 月 16 日時点の 51.9%に減少した。※ 感染経路不明な者の割合は、国の指標及び目安における、ステージIIIの 50%を超える数値が続いている。
11,2020-09-17,4,"(1) PCR 検査・抗原検査(以下「PCR 検査等」という。)の陽性率は、検査体制の指標としてモニタリングしている。迅速かつ広く PCR 検査等を実施することは、感染拡大防止と重症化予防の双方に効果的と考える。(2) PCR 検査等の 7 日間平均の陽性率は、前回の 3.5%から 9 月 16 日時点の 3.5%と、横ばいであった。(3) PCR 検査等の 7 日間平均の人数は、前回の 4,122.4 人から 9 月 16 日時点の 4,064.6 人と、僅かに減少した。(4) 新規陽性患者数が増加に転じている。今後、経済活動が活発になると、さらに、感染拡大のリスクを高める機会が増加し感染経路が多岐にわたるおそれがある。感染リスクが高い地域や集団及び重症化するリスクが高い高齢者施設などに対して、感染拡大抑止の観点から、無症状者も含めた集中的な PCR 検査を行うなどの戦略を検討する必要がある。(5) 次のインフルエンザ流行期における発熱患者の増加が想定されているが、発熱等の症状がある患者に対して、季節性インフルエンザと新型コロナウイルス感染症を臨床的に鑑別することは困難である。このため、次のインフルエンザ流行期に備え、東京の実情に応じた発熱患者の相談・検査・診療フローの作成や検査体制の強化等について、検討している。※ 国の指標及び目安におけるステージIIIの 10%より低値である(ステージII相当)。"
11,2020-09-17,5,(1) 東京ルールの適用件数は、9 月 9 日以降 40 件以下で推移している。(2) 東京ルールの適用件数の 7 日間平均の件数は、前回の 37.9 件から 9 月 16 日時点の 41.1 件と、横ばいであった。
11,2020-09-17,6,"(1) 9 月 16 日時点の入院患者数は、前回の 1,248 人から 1,149 人となり、増減を繰り返しながら、依然として高い水準である。今週、新規陽性者数及び接触歴等不明者数の増加比が 100%を超えたことで、入院患者数が急増することへの厳重な警戒が必要である。医療機関への負担が長期化している状況に変化はない。(2) 今週の新規入院患者数は 432 人、退院者数は 218 人となっている。また、陽性者以外にも、陽性者と同様の感染防御対策と個室での管理が必要な疑い患者を、1 日当たり、都内全域で約 150 人程度受け入れている。(3) 入院調整本部の対応件数のうち、約 9 割以上が無症状の陽性者及び軽症者であるが、合併症を有する患者が多い。(4) 陽性患者の入院と退院時には共に手続き、感染防御対策、検査、調整、消毒など、たとえ軽症者であっても、通常の患者より多くの人手、労力と時間が必要である。煩雑な入院と退院の作業が繰り返されることも、医療機関の負担の要因となっている。確保病床数は、当日の入院できる病床患者数ではない。病院ごとに当日入院できる患者の数には限りがある。(5) 宿泊療養施設の医療支援にあたる医師等もまた、通常の医療現場から苦労して確保している。(6) 今週の新規陽性者 1,234 人のうち、無症状の陽性者が 18.0%を占めている。宿泊療養施設は 3,044 室を確保しているが、9 月 16 日時点の宿泊療養施設の利用者は 272 人、自宅療養者は 409 人である。(7) 入院、宿泊及び自宅療養者の状況を把握・分析し、次のインフルエンザ流行期における感染者の再増加への備えを具体的に検討する必要がある。(8) 宿泊療養施設の一部で、英語による対応や、IT を活用しオンラインで健康観察を行うなど、医療支援にあたる医師等の負担軽減対策を進めている。また、自宅療養者についても、IT を活用した健康観察システムの導入を進め、保健所業務を支援する体制を整えている。(9) 保健所から入院調整本部への調整依頼件数は、1 日 50 件程度で推移しているが、その内訳としては、受入先の調整が特に難しい緊急性の高い重症患者や合併症を有する患者の依頼件数の割合が増加しており、質的にみても調整にかかる負担は依然として大きい。特に土日祝祭日は、受入可能な病床数が少ない状況が続き、調整が難航している。(10) 入院調整の結果、入院先医療機関が決定した後に、症状の改善や患者の希望でキャンセルする事例が1割程度発生している。※ 国の指標及び目安における、病床全体のひっ迫具合を示す、最大確保病床数(都は 4,000 床)に占める入院患者数の割合は、9 月 16 日時点で 28.7%となっており、国の指標及び目安におけるステージIIIの 20%を超えているが、ステージIVの50%未満の数値となっている。また、同時点の確保病床数(都は 2,600 床)に占める入院患者数の割合は、44.2%となっており国の指標及び目安におけるステージIIIの 25%を大きく超えた数値となっている。(ステージIVとは、爆発的な感染拡大及び深刻な医療提供体制の機能不全を避けるための対応が必要な段階)"
